id,prompt,schedule,tags
402,"A steaming cup of coffee on a bookshelf, above a row of antique tea cups.","['A steaming coffee cup on a wooden bookshelf.', 'Coffee with steam on shelf. Antique tea cups with floral patterns contrast. Morning light highlights steam.', 'Steaming coffee on a wooden shelf. Antique tea cups with floral patterns and gold rims create contrast. Morning light highlights steam.', 'A steaming cup of coffee on a vintage wooden bookshelf. An exquisite row of antique tea cups with floral patterns and gold rims contrast. Morning light highlights the swirling steam.', 'A steaming cup of coffee with rich aroma sits majestically on a vintage wooden bookshelf. Below, an exquisite row of antique tea cups with intricate floral patterns and delicate gold rims create a striking contrast. Soft morning light filters through, highlighting the steam swirling gracefully above the coffee.']","Attribute,Spatial Relation,Differentiation"
403,"A plush velvet armchair in the corner of a library, with a sleek leather sofa along the opposite wall.","['Velvet armchair and a leather sofa in a library.', 'Emerald velvet armchair and cognac leather sofa in a library with bookshelves.', 'Emerald armchair and leather sofa in a library. Golden lighting and rugs create luxury.', 'Plush velvet armchair and leather sofa in a grand library, with mahogany bookshelves. Golden lighting and rich rugs make it a luxurious reading spot.', 'Plush emerald velvet armchair nestled in the cozy corner of a grand library, with tall mahogany bookshelves lining the walls. Opposite, a sleek, cognac leather sofa enhances the elegance, surrounded by soft golden lighting and rich patterned rugs, creating an inviting, luxurious reading sanctuary.']","Attribute,Scene,Spatial Relation"
404,"In the cafe, there's a steaming cup of coffee and a freshly baked croissant on every table.","['A cafe with coffee and croissants.', 'A warm cafe with coffee cups and croissants on tables.', 'In a cozy cafe with coffee and croissants, warm lighting creates comfort.', 'In a cozy cafe with warm lighting, a cup of coffee and croissant sit on each table, with an inviting aroma and gentle conversation.', 'In a cozy cafe bathed in warm, ambient lighting, a steaming porcelain cup of freshly brewed coffee sits next to a golden-brown, flaky croissant on every rustic wooden table. The inviting aroma fills the air, creating an atmosphere of comfort and indulgence amidst the gentle hum of conversation.']","Attribute,Scene,Spatial Relation,Universal"
405,"A serene yoga studio with several yoga mats, each with a person seated in deep meditation.","['A yoga studio with people meditating.', 'A calm yoga studio with people meditating on colorful mats.', 'A tranquil yoga studio with people meditating on mats, soft light, and green plants.', 'A tranquil yoga studio with wooden floors, minimalist decor, and soft light. Colorful mats are each occupied by someone meditating. Green plants enhance the serene atmosphere.', 'A tranquil yoga studio bathed in soft natural light, with wooden floors and minimalist decor. Several colorful yoga mats are arranged neatly, each occupied by an individual in a cross-legged meditative pose, eyes closed, amidst a peaceful ambiance. Lush green plants accentuate the serene atmosphere.']","Attribute,Scene,Universal"
406,A snowy forest glistens with delicate ice crystals adorning every branch.,"['A snowy forest with shimmering ice crystals.', 'A snowy forest where ice crystals shimmer on branches. Sunlight creates a magical glow. Quiet atmosphere enchants.', 'A snowy forest with delicate ice crystals shimmering on branches. Diffused sunlight adds a magical glow. Quiet atmosphere creates a winter wonderland.', 'A serene snowy forest landscape with intricate ice crystals shimmering on every branch. Soft diffused sunlight casts a magical glow. Quiet atmosphere creates a winter wonderland, enchanting with pristine beauty and natural elegance.', 'A serene snowy forest landscape, where intricate, delicate ice crystals shimmer beautifully on every branch, casting a magical glow under the soft diffused sunlight. The quiet atmosphere envelops the towering trees, creating a winter wonderland that enchants with its pristine beauty and natural elegance.']","Action Relation,Attribute,Scene,Universal"
407,An antique bookshop with aisles filled with books.,"['A dimly lit antique bookshop with wooden shelves and leather books.', 'A dimly lit bookshop with shelves of leather books. Dust in amber light from stained glass windows.', 'A bookshop with wooden shelves full of leather books. Dust in amber light. Burgudy carpets invite exploration.', 'A quaint, dimly lit antique bookshop with ornate wooden shelves overflowing with leather-bound volumes. Dust motes dance in warm light through stained glass windows. Burgundy carpets line aisles, inviting exploration of literary treasures.', 'A quaint, dimly lit antique bookshop, where towering, ornate wooden shelves overflow with leather-bound volumes. Dust motes dance in the warm, amber light filtering through stained glass windows. The narrow aisles are lined with plush, deep burgundy carpets, inviting exploration of hidden literary treasures in this timeless, enchanting retreat.']","Attribute,Scene,Universal"
408,"A rooftop garden with a row of planters, each filled with herbs and flowers.","['A rooftop garden at sunset with flowers and herbs.', ""A serene sunset rooftop garden with planters of herbs and flowers, casting shadows. Greenery contrasts the city's skyline."", 'A sunset rooftop garden with planters of vibrant herbs and flowers, casting shadows. Greenery contrasts with the city skyline, creating a tranquil oasis.', ""A serene rooftop garden at sunset, with planters of vibrant herbs and colorful flowers casting gentle shadows. Lush greenery contrasts with the city's skyline, creating a tranquil oasis in warm, golden light."", ""A serene rooftop garden at sunset, featuring a meticulously arranged row of elegant planters, each bursting with vibrant herbs and colorful flowers, casting gentle shadows. The lush greenery contrasts beautifully with the city's skyline, creating a tranquil oasis bathed in warm, golden light, inviting one to linger and savor nature's calm amidst urban life.""]","Attribute,Scene,Universal"
409,A tree shadow on every car in the lot.,"['A parking lot with cars and tree shadows.', ""Cars in a parking lot with tree's dappled shadows."", 'Cars in a parking lot under a tree. Dappled sunlight creates light and shadow patterns.', 'Cars in a parking lot, with sunlight filtering through a tree, creating a light and shadow tapestry.', 'Cinematic scene of a parking lot filled with cars, each vehicle cast in the intricate shadow patterns of a large tree overhead. The soft, dappled sunlight filters through the leaves, creating a tapestry of light and shadow on every car, highlighting the serene, universal connection to nature.']","Scene,Spatial Relation,Universal"
410,Orange juice and toast on every breakfast table.,"['Toast and orange juice on tables.', 'Toast and orange juice on tables with white tablecloths in sunlight.', 'Golden-brown toast and orange juice on tables with white tablecloths in morning sunlight.', 'Crisp toast and orange juice on every table with white tablecloths, in morning sunlight streaming through windows, creating a warm ambiance.', 'An inviting, universal breakfast scene with crisp, golden-brown toast and a refreshing glass of vibrant orange juice placed on every table. The tables are neatly arranged and adorned with simple white tablecloths, basking in gentle morning sunlight streaming through large windows, creating a warm and welcoming ambiance.']","Spatial Relation,Universal"
411,"At the party, a pineapple is flanked by beers on each side.","['A party with a pineapple and beer bottles.', 'A party with a pineapple on a table, surrounded by beer bottles under warm lighting.', 'A party scene with a pineapple on a wooden table, frosty beer bottles under warm light, and a lively crowd.', 'A vibrant party scene with a golden pineapple on a wooden table. Frosty beer bottles glisten in warm light, casting shadows. A lively crowd, festive decorations, and colorful streamers enhance the celebratory atmosphere.', 'A vibrant party scene showcases a ripe, golden pineapple at the center on a rustic wooden table. On its left and right, frosty beer bottles glisten under warm ambient lighting, casting soft shadows. The background reveals a lively crowd, festive decorations, and colorful streamers enhancing the celebratory atmosphere.']","Scene,Spatial Relation,Universal"
412,"Near every parked pickup truck, there's a horse standing by.","['Trucks with horses beside during sunset.', 'Parked trucks with horses in sunset, creating a country vibe.', 'Pickup trucks and horses silhouetted in sunset glow, evoking calm countryside life.', 'Every parked truck with a horse beside it, silhouetted against the setting sun, blending rustic charm with rural life.', 'Every parked pickup truck has a majestic horse standing beside it, their silhouettes framed by the golden hues of a setting sun. The scene captures a serene countryside atmosphere, where the trucks and horses create a harmonious blend of rustic charm and everyday rural life.']","Attribute,Spatial Relation,Universal"
413,Leaves falling on every car in the autumn.,"['Autumn leaves cover cars in a city.', 'Autumn leaves fall on parked cars, blown by a breeze.', 'Golden and crimson leaves fall on cars in an urban scene, stirred by a breeze.', 'Golden and crimson autumn leaves fall from trees, covering parked cars in a vibrant urban scene, with a cool breeze stirring the air.', ""Golden and crimson autumn leaves gracefully cascade from towering trees, blanketing every parked car in a vibrant urban scene. The cool breeze gently stirs the air, adding a dynamic touch to this universally relatable moment, as vehicles line the street, each adorned with nature's colorful, fleeting canopy.""]","Scene,Spatial Relation,Universal"
414,"At a birthday party, all the balloons are red.","['A party with red balloons and people talking.', 'Red balloons fill the air at a party. People talk cheerfully under them.', 'Red balloons and colorful lights at a party. People in colorful clothes talk under balloons.', 'Red balloons create a joyful atmosphere at a lively party. Ambient lights reflect on balloons. Partygoers in colorful attire talk cheerfully.', 'In a lively birthday party scene, a cascade of vibrant red balloons fills the air, creating a joyful and festive atmosphere. The soft glow from ambient lights reflects off the balloons, enhancing their rich crimson hues. Partygoers, wearing colorful attire, engage in cheerful conversation under the captivating display.']","Attribute,Scene,Universal"
415,A group of children are playing in the garden and all the children are not wearing shoes.,"['Children playing in a sunny garden.', 'Kids play barefoot in a sunny garden with flowers and grass.', 'Children energetically play in a sunny garden surrounded by flowers. Their laughter echoes.', 'A lively group of children plays barefoot in a sunlit garden, surrounded by vibrant flowers and lush grass. Joyful laughter fills the air, creating a scene of innocence and delight.', 'A lively group of children energetically playing barefoot in a sun-drenched garden, surrounded by vibrant flowers and lush green grass. The warm sunlight casts playful shadows, and their joyous laughter fills the air, creating a scene of pure innocence and delight in the tranquility of a bright, clear day.']","Attribute,Part Relation,Scene,Universal"
416,Several cups are on a round table and all the cups are incomplete.,"['Cups on a round wooden table under soft light.', 'Elegant cups on a round table with soft lighting, highlighting designs.', 'Incomplete elegant cups on a polished round table with soft light and shadows.', 'Numerous elegant, incomplete cups on a polished, round wooden table under soft light, casting shadows and inviting contemplation.', 'Numerous elegant cups, each artistically incomplete, are arranged on a polished, round wooden table. The table, bathed in soft, ambient lighting, casts gentle shadows on the cups, highlighting their intriguing, partially finished designs. The composition exudes a sense of artistic chaos balanced by spatial harmony, inviting contemplation.']","Attribute,Spatial Relation,Universal"
417,Every child in the classroom has a smile on their face.,"['Children in a bright classroom.', 'Children in a bright classroom with sunlight and posters.', 'Children with smiles in a classroom with sunlight and educational posters.', 'In a bright classroom, children sit with smiles. Sunlight streams through windows, warming colorful walls with educational posters, creating a joyful learning atmosphere.', 'In a bright, cheerful classroom, every child sits at their desks with radiant smiles, their eyes gleaming with joy and excitement. Sunlight streams through large windows, casting a warm glow over colorful walls filled with educational posters, creating a lively and harmonious atmosphere of learning and happiness.']","Part Relation,Scene,Universal"
418,"Basking in the sunshine, all the cats are peacefully sleeping.","['Cats napping in a sunny garden.', 'Fluffy cats napping in sunshine under green foliage.', 'Fluffy cats napping in warm sunshine, under green foliage, with glistening fur.', 'Cats of various breeds nap peacefully in warm sunshine, under green foliage. Their fur glistens, creating a tranquil atmosphere.', 'In a serene garden scene, a group of fluffy cats of various breeds are peacefully napping, basking in the warm, golden sunshine filtering through lush, green foliage. Their soft fur glistens in the light, creating a tranquil and idyllic atmosphere with gentle shadows and a sense of universal peace and comfort.']","Attribute,Scene,Universal"
419,"Every tree in the forest is covered in snow, creating a serene winter landscape.","['A snowy forest with trees covered in snow.', 'A snowy forest with trees bowing under snow. Morning light casts shadows.', 'A winter forest with trees blanketed in snow, branches bowing. Morning light creates shadows.', 'A tranquil winter wonderland with snow-covered trees in a dense forest. Branches bow under snow, morning light casts delicate shadows, creating a serene ambiance.', 'A tranquil winter wonderland unfolds as every tree in the dense forest is blanketed with pristine, glistening snow. The branches gracefully bow under the weight, while the soft, diffused morning light casts delicate shadows. The scene exudes a serene ambiance, capturing the enchanting stillness of a snowy forest.']","Attribute,Scene,Universal"
420,"In the park, every bench is occupied by people enjoying their books.","['A park with benches and people reading.', 'A park with benches occupied by people reading under trees with sunlight.', 'A sunlit park with benches where people read under lush trees. Sunlight filters through leaves.', 'In a sunlit park, weathered benches are occupied by people reading under lush trees. Soft rays create a serene atmosphere.', 'In a sunlit park, each weathered wooden bench is occupied by diverse, content individuals engrossed in their books, under the gentle sway of lush, green trees. The tranquil scene captures a universal love for reading, as soft rays filter through the foliage, creating a serene and inviting atmosphere.']","Action Relation,Scene,Universal"
421,"On the farm, each animal is settling down for the night.","['A farm with animals at dusk.', 'A farm at dusk with animals resting in stalls and fields under moonlight.', 'A tranquil farmstead at dusk. Animals rest serenely under a crescent moon, with barns casting shadows over meadows.', ""In a tranquil farmstead at dusk, animals nestle peacefully. The barnyard glows under a crescent moon, casting shadows over the meadow. Horses, sheep, and cows rest in their stalls and pastures, embraced by the setting sun's golden hue."", 'In a tranquil farmstead at dusk, animals nestle peacefully in their cozy habitats. The barnyard glows softly under a crescent moon, casting gentle shadows over the tranquil meadow. Horses, sheep, and cows rest serenely in their stalls and pastures, embraced by the warm, golden hue of a setting sun, capturing rustic rural charm.']","Attribute,Scene,Universal"
422,"Every tree in the forest is green, except for one that is red.","['A forest with one tree having crimson leaves.', 'A forest full of green trees; one has crimson leaves. Golden light filters through the canopy.', 'In a lush forest with green trees, one tree has crimson leaves, highlighted by golden light through the canopy.', ""In a lush, green forest, one tree with crimson leaves stands out brilliantly. Golden light filters through the canopy, highlighting nature's differentiation."", ""In a lush, verdant forest teeming with countless emerald-green trees, one stands out brilliantly in stark contrast, cloaked in vivid crimson leaves. The scene captures the essence of singularity amidst universality, highlighting the striking differentiation of nature's tapestry under a soft, golden light filtering through the canopy.""]","Attribute,Scene,Counting,Differentiation,Universal"
423,"In a room, all the chairs are occupied except one.","['An empty chair among occupied ones in a bright room.', 'Bright room with many occupied chairs. One unique chair is empty.', 'A bright room with diverse chairs. All but one are occupied by animated characters. The empty chair stands out.', 'In a bright room filled with different chairs, each is occupied by an animated character, except a distinctively styled, empty chair at the center, standing out amidst the activity.', 'In a brightly lit room filled with diverse chairs, each seat is occupied by an animated character except for a single, distinctively styled chair, setting it apart. The unoccupied chair stands confidently at the center, invitingly open, amidst the bustling presence of various characters.']","Attribute,Scene,Counting,Differentiation,Universal"
424,"All the books on the shelf are closed, except for one that lies open.","['One open book on a neat shelf of closed books.', 'An open book is on a tidy shelf of closed books, breaking the order.', 'A shelf with neat closed books, one is open, creating curiosity.', 'On a shelf of neatly aligned closed books, one book lies open, inviting curiosity and differentiation.', 'On a well-organized shelf filled with neatly aligned closed books, one stands out by lying open, revealing its pages. This single open book breaks the uniformity, inviting curiosity and intrigue in an otherwise perfectly arranged collection, showcasing the subtle art of differentiation.']","Attribute,Counting,Differentiation,Universal"
425,"Among all the cars in the parking lot, each one is parked neatly except for one that is askew.","['A parking lot with orderly parked cars and one askew car.', 'A neat parking lot with one car parked askew, disrupting order.', 'A parking lot with precisely aligned cars and one misaligned car drawing attention.', 'In a parking lot with neatly parked cars, one car disrupts harmony by being parked askew, drawing attention.', 'In a bustling parking lot, rows of pristine cars are parked in meticulous alignment, creating a harmonious scene. However, one car stands out, parked askew and disrupting the uniformity, drawing attention to its unique positioning amidst the otherwise orderly arrangement.']","Action Relation,Attribute,Scene,Counting,Differentiation,Universal"
426,"In a field of flowers, every bloom is yellow, save for one that is blue.","['A field of yellow flowers with one blue flower.', 'A sunlit field with yellow flowers. One blue flower stands out.', 'A field with thousands of yellow flowers swaying in the breeze. One blue bloom stands out.', 'In a vast, sunlit field of vibrant yellow flowers swaying in the breeze, one blue bloom stands out, creating a captivating contrast against the golden hues.', ""In a vast, sunlit field brimming with thousands of vibrant yellow flowers swaying gently in the breeze, one solitary bloom stands out with its striking azure petals, creating a captivating contrast against the sea of golden hues, showcasing the beauty and rarity in nature's harmonious designs.""]","Attribute,Scene,Counting,Differentiation,Universal"
427,"In a line of dominoes, each one stands upright, except for one that has fallen over.","['Line of standing dominoes with one fallen.', 'Dominoes in a line with one fallen, showing disruption.', 'Aligned dominoes with one fallen, highlighting disruption and imperfection.', 'Line of perfectly arranged dominoes, one domino fallen, creating contrast and emphasizing beauty in imperfection.', 'A meticulously arranged line of dominoes, every piece standing tall and perfectly aligned, save for a single fallen one lying horizontally, creating a striking contrast. The scene captures a universal theme of order disrupted, inviting a sense of curiosity and highlighting the beauty of imperfection.']","Attribute,Spatial Relation,Counting,Differentiation,Universal"
428,"In a collection of hats, each one is plain, but one is adorned with feathers.","['A hat with vibrant feathers stands out.', 'A hat with colorful feathers stands out among plain hats.', 'A hat with intricately arranged colorful feathers stands out among simple hats.', 'One hat with vibrant, intricately arranged feathers stands out, making it elegant and artistic compared to simple hats.', 'Among a collection of simple hats, one striking hat stands out. Adorned with vibrant, flowing feathers arranged intricately, it draws immediate attention. Each feather uniquely patterned, creating a breathtaking display of colors and textures, contrasting sharply against the plainness of the other hats, highlighting its exceptional elegance and artistic flair.']","Attribute,Part Relation,Counting,Differentiation,Universal"
429,"Every lamp in the street is lit, except for one that remains dark.","['A street with lit lamps and one dark lamp.', 'A street with glowing lamps except one dark lamp, creating contrast.', 'A street where all lamps are lit except one dark lamp, making it stand out.', 'Every lamp on the street is lit, casting warm light, except for one dark lamp. This single unlit lamp contrasts the uniform illumination, drawing attention and creating intrigue.', 'Every lamp in the bustling street is aglow, casting a warm, inviting light, except for one solitary lamp that stands dark and mysterious. This singular, unlit lamp creates a stark contrast amidst the otherwise uniform illumination, drawing attention and creating a sense of intrigue and differentiation in the night scene.']","Attribute,Scene,Counting,Differentiation,Universal"
430,"In a pack of wolves, each one howls at the moon, but one remains silent.","['Wolves howling at the full moon.', 'Wolves howling under the full moon on rocks. One wolf is silent, looking at the moon.', 'Wolves stand on rocks under the full moon, howling together. One wolf silently watches the moon.', 'A pack of wolves on a rocky outcrop under the full moon, howling in unison. One wolf watches the moon silently.', 'In a large pack of majestic gray wolves, every powerful wolf stands on a rocky outcrop beneath the luminous full moon, lifting their heads to the starry sky and howling in harmonious chorus. Amidst them, one wolf remains silent, its bright eyes focused contemplatively on the ethereal lunar glow.']","Action Relation,Attribute,Spatial Relation,Counting,Differentiation,Universal"
431,"All the doors in the hallway are closed, except for one that is slightly ajar.","['A dim hallway with one open door.', 'A dim hallway with closed doors and one slightly open, casting a light beam on the floor.', 'A dim hallway with uniform doors, one ajar casting light on the polished floor, inviting curiosity.', 'A dimly lit hallway with multiple closed doors, except one slightly ajar, casting soft light onto the polished wooden floor, creating intrigue.', 'A dimly lit hallway with multiple uniform doors, all tightly shut except for one slightly ajar, casting a narrow beam of soft light onto the polished wooden floor, creating an intriguing focal point. The contrasting open door breaks the rhythm of the closed doors, inviting curiosity and exploration.']","Attribute,Scene,Counting,Differentiation,Universal"
432,"A tree with no leaves, only shadows beneath.","['A leafless tree under a blue sky, casting shadows.', 'A lone tree casts shadows on barren ground under a blue sky. Highlights emptiness.', 'A stark leafless tree stands under a clear sky, casting elongated shadows on the empty ground. Emphasizes solitude.', 'A leafless tree alone under a blue sky, casting intricate shadows on barren ground. Highlights solitude and absence of foliage in an open setting.', ""A stark, leafless tree stands alone under a clear blue sky, casting intricate, elongated shadows on the barren ground, emphasizing the emptiness and solitude of its surroundings. The contrast between the tree's dark outline and the bright landscape highlights the absence of foliage in a desolate, open setting.""]","Part Relation,Spatial Relation,Negation"
433,"A sky with stars, but no moon in sight.","['A sky with stars, no moon.', 'A vast sky with twinkling stars and no moon. It has a serene glow.', 'A vast, starry night sky without a moon, casting a serene glow.', 'A vast sky filled with countless twinkling stars, each glistening like diamonds against the deep blue night canvas, yet absent of any moon, casting a serene and mysterious glow.', 'A vast sky stretching endlessly, adorned with countless twinkling stars, each glistening like diamonds against the deep blue canvas of the night, yet conspicuously absent of any moon, casting a serene and mysterious glow over the tranquil scene below.']","Scene,Negation"
434,"A street with no people, only lights.","['An empty street with cobblestones and street lamps.', 'A deserted street with soft street lamps casting shadows on cobblestones.', 'An urban street with no people, lit by vintage lamps. Shadows and cobblestones create a calm, mysterious vibe.', 'A deserted urban street, under vintage street lamps casting shadows on cobblestones. The light and shadow create a serene, mysterious atmosphere.', 'A deserted urban street, devoid of any pedestrians, illuminated by the soft glow of vintage street lamps casting delicate shadows on the cobblestone path. The ambiance is serene and timeless, with a subtle interplay of light and shadow creating a tranquil yet mysterious atmosphere under the night sky.']","Scene,Negation"
435,"A birdcage with no door, yet no bird inside.","['An empty ornate birdcage hangs in sunlight.', 'An empty birdcage with swirling iron bars, hanging in sunlight. No door or bird.', 'An ornate empty birdcage made of wrought iron, suspended in sunlight, with no door or bird.', 'An empty ornate birdcage of wrought iron, hanging in sunlight. Its bars have elegant patterns. It lacks a door, and no bird resides inside, highlighting an absence.', 'An empty ornate birdcage crafted from intricate wrought iron, suspended in mid-air, gleaming under soft sunlight. Its intricate bars swirl in elegant patterns, forming a whimsical structure. Notably, it lacks a door; despite open spaces, no bird resides within, highlighting a curious spatial anomaly and absence.']","Part Relation,Spatial Relation,Negation"
436,"A shoe with no laces, standing alone.","['A sleek slip-on shoe against a plain background.', 'A modern leather slip-on shoe with no laces. Elegant shape and streamlined design.', 'A leather slip-on shoe with smooth surface and refined shape. No laces, elegant design.', 'A sleek, modern slip-on shoe crafted from high-quality leather against a minimalist background. Its smooth surface and refined contours highlight the absence of laces, emphasizing its streamlined design and understated elegance.', ""A sleek, modern slip-on shoe, exquisitely crafted from high-quality leather, stands prominently against a minimalist background. Its smooth surface and refined contours showcase fine craftsmanship, highlighting the absence of laces. The shoe's elegant shape emphasizes its streamlined design, inviting admiration for its seamless form and understated elegance.""]","Attribute,Part Relation,Negation"
437,"A garden with no paths, only wildflowers.","['A garden with wildflowers and green foliage.', 'A garden with colorful wildflowers and green foliage.', 'A garden with wildflowers in blues, reds, yellows, and green foliage.', 'An untamed garden with colorful wildflowers and green foliage creating a vibrant display.', ""In an untamed garden without any defined pathways, a lush tapestry of vibrant wildflowers blooms in a harmonious riot of colors—delicate blues, fiery reds, and sunny yellows—in stark contrast to the rich green foliage surrounding them, creating a mesmerizing display of nature's raw, unbridled beauty.""]","Scene,Negation"
438,"A kitchen with no stove, only empty counters.","['A minimalist kitchen with large countertops.', 'A spacious, modern kitchen with no appliances on the counters.', 'A sleek kitchen with large countertops and no appliances, reflecting natural light.', 'A spacious kitchen with minimalist design, featuring sleek countertops without appliances. Gleaming surfaces reflect natural light, creating an open atmosphere. Focus on simplicity and functionality with clean lines and space for creativity.', ""Spacious kitchen with minimalist design, featuring sleek, expansive countertops devoid of any stove or appliances. Gleaming surfaces reflect natural light from a large window, creating an open and uncluttered atmosphere. The room's modern aesthetic emphasizes simplicity and functionality, with a focus on clean lines and abundant space for creativity.""]","Attribute,Scene,Negation"
439,"A boat with no sails, adrift on calm waters.","['A wooden boat drifts on calm water under a tranquil sky.', ""An old boat without sails drifts on calm water. Sunlight glistens on ripples, highlighting the boat's texture."", 'A weather-worn wooden boat gently drifts on serene water under a tranquil sky. Sunlight glistens on ripples, highlighting the aged boat.', ""A small, weather-worn wooden boat drifts on serene water under a tranquil sky. Sunlight glistens over the ripples, highlighting the boat's aged brown texture and creating a harmonious atmosphere."", ""A small, weather-worn wooden boat, lacking sails, gently drifts upon a serene, glass-like water surface under a tranquil sky. The scene captures a sense of peaceful solitude, with soft sunlight glistening over the rippling water, subtly highlighting the boat's aged brown texture and creating a harmonious, dreamlike atmosphere.""]","Attribute,Scene,Negation"
440,"A painting with no colors, only shades of gray.","['A grayscale painting with shades of gray.', 'A grayscale painting with light to deep gray tones.', 'A grayscale painting with shades from silver to charcoal, telling a captivating story.', 'A grayscale painting, capturing a world in shades of gray. Blended tones from silver to charcoal create depth and emotion, evoking introspection.', 'A mesmerizing grayscale painting, capturing the essence of a world devoid of vivid hues, where only intricate shades of gray convey depth and emotion, with masterfully blended tones ranging from the lightest whispers of silver to the deepest charcoal, creating a striking visual story that captivates and evokes introspection.']","nan,Negation"
441,"A bridge with no end, vanishing into the fog.","['A bridge disappearing into fog.', 'A bridge extends into swirling fog, vanishing mysteriously.', 'A mystical bridge extends into dense fog, evoking infinity and mystery.', 'A mystical bridge extends into dense, swirling fog, creating an ethereal scene where it vanishes into the misty unknown, emphasizing a limitless journey and mysterious allure.', 'A mystical bridge extending endlessly into dense, swirling fog, creating an ethereal scene where the bridge vanishes into the misty unknown. No visible endpoint, emphasizing the limitless journey and the mysterious allure of the fog-shrouded landscape. The composition conveys a surreal sense of infinity and negation.']","Scene,Negation"
442,"A glass with no water, only ice melting.","['A glass with large ice cubes.', 'A glass filled with large ice cubes, no water.', 'A glass with large, melting ice cubes. Soft light highlights transparency.', 'A glass filled with large, melting ice cubes glistening under soft light. Focus on transparency and subtle textures.', 'A close-up view of a clear glass filled solely with large, geometric ice cubes glistening as they begin to melt, with no water present. The scene is illuminated by soft, ambient light, emphasizing the transparency and coolness of the glass and ice, creating a minimalist composition with a focus on subtle textures.']","Attribute,Negation"
443,"A bed with no pillows, only a folded blanket.","['A bed with a folded blanket.', 'A bed with a folded blanket. No pillows, crisp folds on a sheet.', 'A minimalist bed with a folded blanket, no pillows, and crisp folds on a smooth sheet.', 'A minimalist bed scene with a folded blanket on the mattress, emphasizing simplicity. No pillows, highlighting crisp folds against a pristine sheet, creating a calm environment.', ""A minimalist bed scene showcasing a neatly folded blanket centered on the mattress, emphasizing simplicity and absence of excess. The absence of pillows allows focus on the crispness of the blanket's folds against a smooth, pristine sheet, creating a stark yet calming environment with clean lines and uncluttered space.""]","Attribute,Negation"
444,A bike with no pedals.,"['A minimalist bicycle without pedals.', 'A modern bicycle with sleek lines and no pedals.', 'An innovative bike with a minimalist frame and smooth lines, lacking pedals.', 'A sleek, modern bicycle with a minimalist frame design and smooth, uninterrupted lines, notably lacking pedals, showcasing innovative engineering.', ""A sleek, modern bicycle featuring a minimalist frame design, with strategically absent pedals. Emphasize the seamless flow of the bike's structure, the smooth, uninterrupted lines of the frame, and the absence of pedal mechanisms, creating a visually striking example of innovative bicycle engineering.""]","Part Relation,Negation"
445,"A ball with no bounce, lying still.","['A rubber ball on a wooden floor.', 'A worn rubber ball on a wooden floor in dim light.', 'A slightly worn rubber ball rests on a polished floor, casting soft shadows.', 'A motionless, worn rubber ball on a polished wooden floor in dim light, with soft shadows suggesting stillness.', 'A motionless, non-bouncy rubber ball, slightly worn, rests on a polished wooden floor in a dimly lit room. The absence of motion emphasizes its deflated form and matte finish, contrasting the soft shadows cast by warm, ambient lighting, suggesting peaceful stillness and tranquility.']","Attribute,Negation"
446,"A coat with no buttons, hanging loosely.","['A trench coat on a hanger.', 'A flowing trench coat without buttons drapes on a hanger.', 'A buttonless trench coat in soft fabric drapes on a hanger, highlighting its elegance.', ""A stylish, buttonless trench coat in a flowing fabric drapes on a wooden hanger, accentuating its elegant lines. Soft shadows highlight the fabric's luxurious quality."", ""A stylish, buttonless trench coat in a soft, flowing fabric drapes effortlessly over a wooden hanger, accentuating the coat's elegant lines and texture. The absence of buttons creates a sleek, contemporary silhouette, while soft shadows play across the fabric's surface, highlighting its luxurious quality.""]","Attribute,Part Relation,Negation"
447,"Two children sitting on the bed, the one on the left making faces, the one on the right not making faces.","['Two kids on a bed; one makes a funny face, the other is calm.', 'Two kids on a cozy bed; one playfully grimaces, the other remains serene. Warm lighting highlights their expressions.', 'Two kids share a cozy bed; one distorts their face joyfully, while the other is serene, in warm light.', 'Two children sit on a cozy bed; the left child contorts their face with delight, the right is serene. Warmly lit room highlights contrasting expressions.', 'Two children sitting side-by-side on a cozy bed; the child on the left playfully contorts their face with delight, while the child on the right looks on calmly, their expression serene. The room is warmly lit, emphasizing the contrasting actions and expressions of the two kids sharing this intimate moment.']","Action Relation,Spatial Relation,Counting,Differentiation,Negation"
448,A library with no books on the shelves.,"['An empty library with wooden shelves and arched windows.', 'A library with empty shelves and arched windows. Soft light and shadows create a quiet mood.', 'A serene library with empty wooden shelves. Grand windows cast shadows, emphasizing silence.', 'A spacious library interior with empty wooden shelves. Grand arched windows cast soft shadows on polished floors, evoking silence and contemplation.', 'A serene, spacious library interior, showcasing rows of empty wooden shelves, their absence of books highlighted by the gentle ambient lighting. The grand arched windows cast soft shadows across the polished wooden floors, emphasizing the silence and emptiness. The tranquil atmosphere evokes a sense of history and contemplation.']","Scene,Spatial Relation,Negation"
449,A beach without any footprints in the sand.,"['A beach with golden sands and waves.', 'A beach with untouched sands and turquoise waves under a clear sky.', 'A pristine beach with golden sands and turquoise ocean under a clear sky. Setting sun casts long shadows.', 'A pristine beach with untouched golden sands stretching into the horizon. Gentle waves of the turquoise ocean kiss the shore under a clear sky. The serenity is amplified by the soft glow of the setting sun, casting long shadows.', 'A pristine beach with untouched golden sands stretching into the horizon, free of any footprints or disturbances. The gentle waves of the turquoise ocean kiss the shore under a clear sky. The serenity of the scene is amplified by the soft glow of the setting sun, casting long shadows.']","Scene,Negation"
