initial_prompt,prompt_schedule,num_tokens,num_adjectives,num_nouns
One ancient scroll unfurled inside a cavern lit by two large crystals,"```python
prompts = [
    ""One ancient scroll unfurled inside a cavern lit by two large crystals"",
    ""One ancient scroll unfurled inside a cavern lit by two large crystals, soft glow"",
    ""One ancient scroll unfurled inside a cavern lit by two large crystals, soft glow, rough stone walls"",
    ""One ancient scroll unfurled inside a cavern lit by two large crystals, soft glow, rough stone walls, scattered pebbles"",
    ""One ancient scroll unfurled inside a cavern lit by two large crystals, soft glow, rough stone walls, scattered pebbles, faint shadows dancing""
]
```",12,2,4
"One pirate ship sailing through space, crewed by five robots","prompts = [
    ""One pirate ship sailing through space, crewed by five robots"",
    ""One pirate ship sailing through space, crewed by five robots, stars twinkling in the vast expanse"",
    ""One pirate ship sailing through space, crewed by five robots, stars twinkling in the vast expanse, nebulae swirling in vibrant colors"",
    ""One pirate ship sailing through space, crewed by five robots, stars twinkling in the vast expanse, nebulae swirling in vibrant colors, asteroids floating by"",
    ""One pirate ship sailing through space, crewed by five robots, stars twinkling in the vast expanse, nebulae swirling in vibrant colors, asteroids floating by, planets looming in the distance"" 
]",11,0,4
"A glowing ancient tree with five lanterns, surrounded by fireflies","```python
prompts = [
    ""A glowing ancient tree with five lanterns, surrounded by fireflies"",
    ""A glowing ancient tree with five lanterns, surrounded by fireflies, lush green meadow"",
    ""A glowing ancient tree with five lanterns, surrounded by fireflies, lush green meadow, moonlit night"",
    ""A glowing ancient tree with five lanterns, surrounded by fireflies, lush green meadow, moonlit night, starry sky"",
    ""A glowing ancient tree with five lanterns, surrounded by fireflies, lush green meadow, moonlit night, starry sky, gentle breeze rustling the leaves""
]
```",11,1,4
Three floating islands above one waterfall in a valley,"```python
prompts = [
    ""Three floating islands above one waterfall in a valley"",
    ""Three floating islands above one waterfall in a valley, lush greenery"",
    ""Three floating islands above one waterfall in a valley, lush greenery, mist rising from the waterfall"",
    ""Three floating islands above one waterfall in a valley, lush greenery, mist rising from the waterfall, bright sun shining"",
    ""Three floating islands above one waterfall in a valley, lush greenery, mist rising from the waterfall, bright sun shining, colorful birds flying around""
]
```",9,0,3
One phoenix soaring above a mountain,"```python
prompts = [
    ""One phoenix soaring above a mountain"",
    ""One phoenix soaring above a mountain, its wings shedding three golden feathers"",
    ""One phoenix soaring above a mountain, its wings shedding three golden feathers, snow-capped peaks"",
    ""One phoenix soaring above a mountain, its wings shedding three golden feathers, snow-capped peaks, clear blue sky"",
    ""One phoenix soaring above a mountain, its wings shedding three golden feathers, snow-capped peaks, clear blue sky, sunlight reflecting off the feathers""
]
```",6,0,2
"A table laden with apples and bananas, where all the fruits are green","```python
prompts = [
    ""A table laden with apples and bananas, where all the fruits are green"",
    ""A table laden with apples and bananas, where all the fruits are green, wooden table"",
    ""A table laden with apples and bananas, where all the fruits are green, wooden table, sunlit room"",
    ""A table laden with apples and bananas, where all the fruits are green, wooden table, sunlit room, white curtains"",
    ""A table laden with apples and bananas, where all the fruits are green, wooden table, sunlit room, white curtains, breeze shifting the fabric""
]
```",14,2,4
"In a modern laboratory, all the computer screens are turned on","```python
prompts = [
    ""In a modern laboratory, all the computer screens are turned on"",
    ""In a modern laboratory, all the computer screens are turned on, sleek metallic benches"",
    ""In a modern laboratory, all the computer screens are turned on, sleek metallic benches, advanced scientific equipment"",
    ""In a modern laboratory, all the computer screens are turned on, sleek metallic benches, advanced scientific equipment, intricate wiring network"",
    ""In a modern laboratory, all the computer screens are turned on, sleek metallic benches, advanced scientific equipment, intricate wiring network, bright LED lighting overhead""
]
```",12,1,3
"A landscape where every tree is in full bloom, with petals covering the ground","```python
prompts = [
    ""A landscape where every tree is in full bloom, with petals covering the ground"",
    ""A landscape where every tree is in full bloom, with petals covering the ground, gentle rolling hills"",
    ""A landscape where every tree is in full bloom, with petals covering the ground, gentle rolling hills, vibrant blossoms in various colors"",
    ""A landscape where every tree is in full bloom, with petals covering the ground, gentle rolling hills, vibrant blossoms in various colors, clear blue sky overhead"",
    ""A landscape where every tree is in full bloom, with petals covering the ground, gentle rolling hills, vibrant blossoms in various colors, clear blue sky overhead, a distant river snaking through the valley""
]
```",15,1,5
"Inside a library where each book spine displays a unique, intricate pattern","```python
prompts = [
    ""Inside a library where each book spine displays a unique, intricate pattern"",
    ""Inside a library where each book spine displays a unique, intricate pattern, towering wooden shelves"",
    ""Inside a library where each book spine displays a unique, intricate pattern, towering wooden shelves, sunlit reading nooks"",
    ""Inside a library where each book spine displays a unique, intricate pattern, towering wooden shelves, sunlit reading nooks, plush armchairs"",
    ""Inside a library where each book spine displays a unique, intricate pattern, towering wooden shelves, sunlit reading nooks, plush armchairs, intricate stained glass windows filtering colorful light""
]
```",13,3,3
An aquarium where every tank is home to a multitude of colorful fish,"```python
prompts = [
    ""An aquarium where every tank is home to a multitude of colorful fish"",
    ""An aquarium where every tank is home to a multitude of colorful fish, filled with vibrant coral"",
    ""An aquarium where every tank is home to a multitude of colorful fish, filled with vibrant coral, soft ambient lighting"",
    ""An aquarium where every tank is home to a multitude of colorful fish, filled with vibrant coral, soft ambient lighting, glass walls reflecting the water's shimmer"",
    ""An aquarium where every tank is home to a multitude of colorful fish, filled with vibrant coral, soft ambient lighting, glass walls reflecting the water's shimmer, visitors silhouetted against the glow""
]
```",13,1,4
"In a square, several children are playing, each wearing a red T-shirt","```python
prompts = [
    ""In a square, several children are playing, each wearing a red T-shirt"",
    ""In a square, several children are playing, each wearing a red T-shirt, paved ground"",
    ""In a square, several children are playing, each wearing a red T-shirt, paved ground, tall gray buildings"",
    ""In a square, several children are playing, each wearing a red T-shirt, paved ground, tall gray buildings, blue sky"",
    ""In a square, several children are playing, each wearing a red T-shirt, paved ground, tall gray buildings, blue sky, some green trees lining the square""
]
```",14,2,3
"A garden where every flower is in full bloom, showcasing a rainbow of colors","```python
prompts = [
    ""A garden where every flower is in full bloom, showcasing a rainbow of colors"",
    ""A garden where every flower is in full bloom, showcasing a rainbow of colors, lush greenery"",
    ""A garden where every flower is in full bloom, showcasing a rainbow of colors, lush greenery, delicate butterflies"",
    ""A garden where every flower is in full bloom, showcasing a rainbow of colors, lush greenery, delicate butterflies, sunlight filtering through the trees"",
    ""A garden where every flower is in full bloom, showcasing a rainbow of colors, lush greenery, delicate butterflies, sunlight filtering through the trees, gentle streams winding through""
]
```",15,1,5
A bustling kitchen where every chef is preparing a dish,"```python
prompts = [
    ""A bustling kitchen where every chef is preparing a dish"",
    ""A bustling kitchen where every chef is preparing a dish, gleaming countertops"",
    ""A bustling kitchen where every chef is preparing a dish, gleaming countertops, copper pots hanging"",
    ""A bustling kitchen where every chef is preparing a dish, gleaming countertops, copper pots hanging, vibrant vegetables being chopped"",
    ""A bustling kitchen where every chef is preparing a dish, gleaming countertops, copper pots hanging, vibrant vegetables being chopped, chefs wearing crisp white uniforms""
]
```",10,0,4
"On the grass, all the children are lying down, laughing joyfully","```python
prompts = [
    ""On the grass, all the children are lying down, laughing joyfully"",
    ""On the grass, all the children are lying down, laughing joyfully, under a clear blue sky"",
    ""On the grass, all the children are lying down, laughing joyfully, under a clear blue sky, surrounded by blooming flowers"",
    ""On the grass, all the children are lying down, laughing joyfully, under a clear blue sky, surrounded by blooming flowers, near a tranquil pond"",
    ""On the grass, all the children are lying down, laughing joyfully, under a clear blue sky, surrounded by blooming flowers, near a tranquil pond, while a gentle breeze sways the trees""
]
```",13,0,2
A classroom where every student's desk is covered with creative projects and experiments,"```python
prompts = [
    ""A classroom where every student's desk is covered with creative projects and experiments"",
    ""A classroom where every student's desk is covered with creative projects and experiments, walls decorated with colorful posters"",
    ""A classroom where every student's desk is covered with creative projects and experiments, walls decorated with colorful posters, sunlight streaming through large windows"",
    ""A classroom where every student's desk is covered with creative projects and experiments, walls decorated with colorful posters, sunlight streaming through large windows, a blackboard filled with chalk drawings"",
    ""A classroom where every student's desk is covered with creative projects and experiments, walls decorated with colorful posters, sunlight streaming through large windows, a blackboard filled with chalk drawings, a teacher's desk cluttered with papers and supplies""
]
```",14,1,5
"In an enchanted forest, every tree is joyfully dancing","```python
prompts = [
    ""In an enchanted forest, every tree is joyfully dancing"",
    ""In an enchanted forest, every tree is joyfully dancing, luminous foliage"",
    ""In an enchanted forest, every tree is joyfully dancing, luminous foliage, glittering streams"",
    ""In an enchanted forest, every tree is joyfully dancing, luminous foliage, glittering streams, vibrant wildflowers"",
    ""In an enchanted forest, every tree is joyfully dancing, luminous foliage, glittering streams, vibrant wildflowers, gentle sunrays filtering through""
]
```",10,1,2
"Little fairies are flying in the sky, each with pink butterfly wings","```python
prompts = [
    ""Little fairies are flying in the sky, each with pink butterfly wings"",
    ""Little fairies are flying in the sky, each with pink butterfly wings, amidst fluffy clouds"",
    ""Little fairies are flying in the sky, each with pink butterfly wings, amidst fluffy clouds, bright sunlight cascading"",
    ""Little fairies are flying in the sky, each with pink butterfly wings, amidst fluffy clouds, bright sunlight cascading, sparkling like dew"",
    ""Little fairies are flying in the sky, each with pink butterfly wings, amidst fluffy clouds, bright sunlight cascading, sparkling like dew, creating a magical aura""
]
```",13,1,5
"An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape","```python
prompts = [
    ""An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape"",
    ""An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape, vintage decor"",
    ""An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape, vintage decor, wooden floors"",
    ""An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape, vintage decor, wooden floors, large mirrors lining the walls"",
    ""An old-fashioned barber shop, where every chair is occupied by a customer under a barber's cape, vintage decor, wooden floors, large mirrors lining the walls, barbers with classic hairstyles skillfully working""
]
```",18,1,6
"A group of people gathered at a party, all sitting around a dining table","```python
prompts = [
    ""A group of people gathered at a party, all sitting around a dining table"",
    ""A group of people gathered at a party, all sitting around a dining table, a chandelier overhead"",
    ""A group of people gathered at a party, all sitting around a dining table, a chandelier overhead, elegant place settings"",
    ""A group of people gathered at a party, all sitting around a dining table, a chandelier overhead, elegant place settings, bright festive decorations"",
    ""A group of people gathered at a party, all sitting around a dining table, a chandelier overhead, elegant place settings, bright festive decorations, vibrant paintings adorning the walls""
]
```",15,0,5
"Two chairs are in the room, both with books on them","```python
prompts = [
    ""Two chairs are in the room, both with books on them"",
    ""Two chairs are in the room, both with books on them, wooden floor"",
    ""Two chairs are in the room, both with books on them, wooden floor, large window"",
    ""Two chairs are in the room, both with books on them, wooden floor, large window, sunlit ambience"",
    ""Two chairs are in the room, both with books on them, wooden floor, large window, sunlit ambience, shadows of leaves visible through the window""
]
```",12,0,3
A traditional potter's workshop,"```python
prompts = [
    ""A traditional potter's workshop"",
    ""A traditional potter's workshop, rows of terracotta pots"",
    ""A traditional potter's workshop, rows of terracotta pots, intricate designs on each"",
    ""A traditional potter's workshop, rows of terracotta pots, intricate designs on each, wooden shelves line the walls"",
    ""A traditional potter's workshop, rows of terracotta pots, intricate designs on each, wooden shelves line the walls, clay dust covering the floor""
]
```",5,1,2
A bakery where every shelf is filled with a variety of bread and pastries,"```python
prompts = [
    ""A bakery where every shelf is filled with a variety of bread and pastries"",
    ""A bakery where every shelf is filled with a variety of bread and pastries, rustic wooden shelves"",
    ""A bakery where every shelf is filled with a variety of bread and pastries, rustic wooden shelves, colorful pastries"",
    ""A bakery where every shelf is filled with a variety of bread and pastries, rustic wooden shelves, colorful pastries, warm ambient lighting"",
    ""A bakery where every shelf is filled with a variety of bread and pastries, rustic wooden shelves, colorful pastries, warm ambient lighting, a large display window revealing the bustling street outside""
]
```",14,0,5
"A spotted dog, a cat and a bird on a table","```python
prompts = [
    ""A spotted dog, a cat and a bird on a table"",
    ""A spotted dog, a cat and a bird on a table, wooden surface"",
    ""A spotted dog, a cat and a bird on a table, wooden surface, small vase"",
    ""A spotted dog, a cat and a bird on a table, wooden surface, small vase, sunlit room"",
    ""A spotted dog, a cat and a bird on a table, wooden surface, small vase, sunlit room, open window with sheer curtains""
]
```",12,1,4
"A dog, a cat and a chicken on a table","```python
prompts = [
    ""A dog, a cat and a chicken on a table"",
    ""A dog, a cat and a chicken on a table, wooden surface"",
    ""A dog, a cat and a chicken on a table, wooden surface, sunlit room"",
    ""A dog, a cat and a chicken on a table, wooden surface, sunlit room, large window nearby"",
    ""A dog, a cat and a chicken on a table, wooden surface, sunlit room, large window nearby, lush garden visible outside""
]
```",11,0,4
A young man with a green bat and a blue ball,"```python
prompts = [
    ""A young man with a green bat and a blue ball"",
    ""A young man with a green bat and a blue ball, grassy field"",
    ""A young man with a green bat and a blue ball, grassy field, scattered white clouds"",
    ""A young man with a green bat and a blue ball, grassy field, scattered white clouds, distant trees"",
    ""A young man with a green bat and a blue ball, grassy field, scattered white clouds, distant trees, late afternoon light casting long shadows""
]
```",11,3,3
A young man with a blue bat and a green ball,"```python
prompts = [
    ""A young man with a blue bat and a green ball"",
    ""A young man with a blue bat and a green ball, lush park setting"",
    ""A young man with a blue bat and a green ball, lush park setting, verdant grass"",
    ""A young man with a blue bat and a green ball, lush park setting, verdant grass, tall trees lining"",
    ""A young man with a blue bat and a green ball, lush park setting, verdant grass, tall trees lining, clear blue sky overhead""
]
```",11,3,3
Parent pointing at a child,"```python
prompts = [
    ""Parent pointing at a child"",
    ""Parent pointing at a child, standing in a park"",
    ""Parent pointing at a child, standing in a park, lush green grass"",
    ""Parent pointing at a child, standing in a park, lush green grass, tall trees lining the edge"",
    ""Parent pointing at a child, standing in a park, lush green grass, tall trees lining the edge, a bright blue sky overhead""
]
```",5,0,2
A child pointing at parent,"```python
prompts = [
    ""A child pointing at parent"",
    ""A child pointing at parent, standing in a park"",
    ""A child pointing at parent, standing in a park, surrounded by trees"",
    ""A child pointing at parent, standing in a park, surrounded by trees, sunlight filtering through leaves"",
    ""A child pointing at parent, standing in a park, surrounded by trees, sunlight filtering through leaves, nearby playground equipment""
]
```",5,0,2
A young lady wearing a T-shirt puts her hand on a puppy's head,"```python
prompts = [
    ""A young lady wearing a T-shirt puts her hand on a puppy's head"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's head, sitting in a garden"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's head, sitting in a garden, surrounded by blooming flowers"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's head, sitting in a garden, surrounded by blooming flowers, a wooden fence in the background"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's head, sitting in a garden, surrounded by blooming flowers, a wooden fence in the background, sunlight filtering through tree branches""
]
```",14,1,5
A young lady wearing a T-shirt puts her hand on a puppy's paw,"```python
prompts = [
    ""A young lady wearing a T-shirt puts her hand on a puppy's paw"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's paw, sitting on a wooden floor"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's paw, sitting on a wooden floor, sunlight streaming through a nearby window"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's paw, sitting on a wooden floor, sunlight streaming through a nearby window, books scattered around"",
    ""A young lady wearing a T-shirt puts her hand on a puppy's paw, sitting on a wooden floor, sunlight streaming through a nearby window, books scattered around, a cozy blanket draped over a nearby chair""
]
```",14,1,5
A young woman wearing a red T-shirt,"```python
prompts = [
    ""A young woman wearing a red T-shirt"",
    ""A young woman wearing a red T-shirt, standing on a sandy beach"",
    ""A young woman wearing a red T-shirt, standing on a sandy beach, gentle waves in the background"",
    ""A young woman wearing a red T-shirt, standing on a sandy beach, gentle waves in the background, sunlight glinting off the water"",
    ""A young woman wearing a red T-shirt, standing on a sandy beach, gentle waves in the background, sunlight glinting off the water, seagulls soaring overhead""
]
```",7,2,2
A young woman in a red long-sleeved dress,"```python
prompts = [
    ""A young woman in a red long-sleeved dress"",
    ""A young woman in a red long-sleeved dress, standing in a forest clearing"",
    ""A young woman in a red long-sleeved dress, standing in a forest clearing, dappled sunlight"",
    ""A young woman in a red long-sleeved dress, standing in a forest clearing, dappled sunlight, surrounded by tall trees"",
    ""A young woman in a red long-sleeved dress, standing in a forest clearing, dappled sunlight, surrounded by tall trees, vibrant green foliage""
]
```",8,3,2
A cat chasing a dog,"```python
prompts = [
    ""A cat chasing a dog"",
    ""A cat chasing a dog, grassy field"",
    ""A cat chasing a dog, grassy field, sunny day"",
    ""A cat chasing a dog, grassy field, sunny day, colorful wildflowers"",
    ""A cat chasing a dog, grassy field, sunny day, colorful wildflowers, distant rolling hills""
]
```",5,0,2
A dog chasing a cat,"```python
prompts = [
    ""A dog chasing a cat"",
    ""A dog chasing a cat, grassy backyard"",
    ""A dog chasing a cat, grassy backyard, wooden fence enclosing the area"",
    ""A dog chasing a cat, grassy backyard, wooden fence enclosing the area, sun casting shadows"",
    ""A dog chasing a cat, grassy backyard, wooden fence enclosing the area, sun casting shadows, trees swaying gently in the breeze""
]
```",5,0,2
A group of children playing in the garden,"```python
prompts = [
    ""A group of children playing in the garden"",
    ""A group of children playing in the garden, lush green grass"",
    ""A group of children playing in the garden, lush green grass, vibrant flowers"",
    ""A group of children playing in the garden, lush green grass, vibrant flowers, a tall oak tree"",
    ""A group of children playing in the garden, lush green grass, vibrant flowers, a tall oak tree, a white wooden fence in the background""
]
```",8,0,3
A group of children playing on the beach,"```python
prompts = [
    ""A group of children playing on the beach"",
    ""A group of children playing on the beach, surrounded by gentle waves"",
    ""A group of children playing on the beach, surrounded by gentle waves, with sunbathers on colorful towels"",
    ""A group of children playing on the beach, surrounded by gentle waves, with sunbathers on colorful towels, under a clear blue sky"",
    ""A group of children playing on the beach, surrounded by gentle waves, with sunbathers on colorful towels, under a clear blue sky, distant sailboats on the horizon""
]
```",8,0,3
A woman wearing a T-shirt and gloves,"```python
prompts = [
    ""A woman wearing a T-shirt and gloves"",
    ""A woman wearing a T-shirt and gloves, standing in a sunny garden"",
    ""A woman wearing a T-shirt and gloves, standing in a sunny garden, surrounded by blooming flowers"",
    ""A woman wearing a T-shirt and gloves, standing in a sunny garden, surrounded by blooming flowers, with a wooden bench nearby"",
    ""A woman wearing a T-shirt and gloves, standing in a sunny garden, surrounded by blooming flowers, with a wooden bench nearby, a tall tree casting shade over part of the garden""
]
```",7,0,3
A woman in a long-sleeved dress with a ring,"```python
prompts = [
    ""A woman in a long-sleeved dress with a ring"",
    ""A woman in a long-sleeved dress with a ring, standing in a sunlit garden"",
    ""A woman in a long-sleeved dress with a ring, standing in a sunlit garden, vibrant blooming flowers around"",
    ""A woman in a long-sleeved dress with a ring, standing in a sunlit garden, vibrant blooming flowers around, a stone pathway leading to a wooden bench"",
    ""A woman in a long-sleeved dress with a ring, standing in a sunlit garden, vibrant blooming flowers around, a stone pathway leading to a wooden bench, tall hedges bordering the area""
]
```",9,1,3
"A spotted dog, a cat and a bird on a round table","```python
prompts = [
    ""A spotted dog, a cat and a bird on a round table"",
    ""A spotted dog, a cat and a bird on a round table, in a sunlit room"",
    ""A spotted dog, a cat and a bird on a round table, in a sunlit room, tall windows"",
    ""A spotted dog, a cat and a bird on a round table, in a sunlit room, tall windows, wooden floors"",
    ""A spotted dog, a cat and a bird on a round table, in a sunlit room, tall windows, wooden floors, lush green plants by the corners""
]
```",13,1,5
"A dog, a cat, and a bird on a chair","```python
prompts = [
    ""A dog, a cat, and a bird on a chair"",
    ""A dog, a cat, and a bird on a chair, wooden seat"",
    ""A dog, a cat, and a bird on a chair, wooden seat, patterned cushion"",
    ""A dog, a cat, and a bird on a chair, wooden seat, patterned cushion, sunlight streaming"",
    ""A dog, a cat, and a bird on a chair, wooden seat, patterned cushion, sunlight streaming, shadows on the floor""
]
```",12,0,4
A boy and a dog standing in the desert,"```python
prompts = [
    ""A boy and a dog standing in the desert"",
    ""A boy and a dog standing in the desert, expansive sand dunes"",
    ""A boy and a dog standing in the desert, expansive sand dunes, clear blue sky"",
    ""A boy and a dog standing in the desert, expansive sand dunes, clear blue sky, sun casting long shadows"",
    ""A boy and a dog standing in the desert, expansive sand dunes, clear blue sky, sun casting long shadows, distant mountains on the horizon""
]
```",9,0,4
A boy and a dog standing on the beach,"```python
prompts = [
    ""A boy and a dog standing on the beach"",
    ""A boy and a dog standing on the beach, golden sand"",
    ""A boy and a dog standing on the beach, golden sand, rolling waves"",
    ""A boy and a dog standing on the beach, golden sand, rolling waves, clear blue sky"",
    ""A boy and a dog standing on the beach, golden sand, rolling waves, clear blue sky, seagulls flying overhead""
]
```",9,0,3
A man is hugging a box full of flowers on the floor,"```python
prompts = [
    ""A man is hugging a box full of flowers on the floor"",
    ""A man is hugging a box full of flowers on the floor, in a cozy living room"",
    ""A man is hugging a box full of flowers on the floor, in a cozy living room, sunlight streaming through a window"",
    ""A man is hugging a box full of flowers on the floor, in a cozy living room, sunlight streaming through a window, rug under the box"",
    ""A man is hugging a box full of flowers on the floor, in a cozy living room, sunlight streaming through a window, rug under the box, potted plants in the corner""
]
```",12,1,4
A man is pushing a box full of flowers on the floor,"```python
prompts = [
    ""A man is pushing a box full of flowers on the floor"",
    ""A man is pushing a box full of flowers on the floor, wooden floorboards"",
    ""A man is pushing a box full of flowers on the floor, wooden floorboards, colorful blossoms"",
    ""A man is pushing a box full of flowers on the floor, wooden floorboards, colorful blossoms, morning sunlight streaming through a window"",
    ""A man is pushing a box full of flowers on the floor, wooden floorboards, colorful blossoms, morning sunlight streaming through a window, casting shadows on the walls""
]
```",12,1,4
A young man is holding a blue bat and a green ball,"```python
prompts = [
    ""A young man is holding a blue bat and a green ball"",
    ""A young man is holding a blue bat and a green ball, standing on a grassy field"",
    ""A young man is holding a blue bat and a green ball, standing on a grassy field, trees lining the edge"",
    ""A young man is holding a blue bat and a green ball, standing on a grassy field, trees lining the edge, a clear sky overhead"",
    ""A young man is holding a blue bat and a green ball, standing on a grassy field, trees lining the edge, a clear sky overhead, distant mountains rising""
]
```",12,3,3
One cat is sleeping on the table and the other is playing under the table,"```python
prompts = [
    ""One cat is sleeping on the table and the other is playing under the table"",
    ""One cat is sleeping on the table and the other is playing under the table, wooden tabletop"",
    ""One cat is sleeping on the table and the other is playing under the table, wooden tabletop, sunlight streaming through a window"",
    ""One cat is sleeping on the table and the other is playing under the table, wooden tabletop, sunlight streaming through a window, a vase with flowers on the table"",
    ""One cat is sleeping on the table and the other is playing under the table, wooden tabletop, sunlight streaming through a window, a vase with flowers on the table, shadows cast on the floor""
]
```",15,1,3
One cat is sleeping on the table and the other one is awake under the table,"```python
prompts = [
    ""One cat is sleeping on the table and the other one is awake under the table"",
    ""One cat is sleeping on the table and the other one is awake under the table, wooden surface"",
    ""One cat is sleeping on the table and the other one is awake under the table, wooden surface, soft warm light"",
    ""One cat is sleeping on the table and the other one is awake under the table, wooden surface, soft warm light, cozy room"",
    ""One cat is sleeping on the table and the other one is awake under the table, wooden surface, soft warm light, cozy room, books on shelves around""
]
```",16,1,3
"There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot","```python
prompts = [
    ""There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot"",
    ""There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot, a wooden table surface"",
    ""There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot, a wooden table surface, sunlight streaming through a window"",
    ""There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot, a wooden table surface, sunlight streaming through a window, small plant in the flowerpot"",
    ""There is a watering can and a flowerpot on the table, the watering can is bigger than the flowerpot, a wooden table surface, sunlight streaming through a window, small plant in the flowerpot, gentle shadows cast across the table""
]
```",20,1,5
A cute dog without a collar,"```python
prompts = [
    ""A cute dog without a collar"",
    ""A cute dog without a collar, sitting in a lush green park"",
    ""A cute dog without a collar, sitting in a lush green park, surrounded by vibrant flowers"",
    ""A cute dog without a collar, sitting in a lush green park, surrounded by vibrant flowers, beneath a clear blue sky"",
    ""A cute dog without a collar, sitting in a lush green park, surrounded by vibrant flowers, beneath a clear blue sky, sunlight casting soft shadows on the grass""
]
```",6,0,3
"A cat that is not black, its tail isn't visible","```python
prompts = [
    ""A cat that is not black, its tail isn't visible"",
    ""A cat that is not black, its tail isn't visible, sitting on an old wooden bench"",
    ""A cat that is not black, its tail isn't visible, sitting on an old wooden bench, surrounded by autumn leaves"",
    ""A cat that is not black, its tail isn't visible, sitting on an old wooden bench, surrounded by autumn leaves, a garden path lined with stones"",
    ""A cat that is not black, its tail isn't visible, sitting on an old wooden bench, surrounded by autumn leaves, a garden path lined with stones, thick ivy climbing the nearby fence""
]
```",12,2,2
"In the bedroom, there are three chairs with a book on each of them","```python
prompts = [
    ""In the bedroom, there are three chairs with a book on each of them"",
    ""In the bedroom, there are three chairs with a book on each of them, wooden floorboards"",
    ""In the bedroom, there are three chairs with a book on each of them, wooden floorboards, a large window with sheer curtains"",
    ""In the bedroom, there are three chairs with a book on each of them, wooden floorboards, a large window with sheer curtains, a painting hanging above the bed"",
    ""In the bedroom, there are three chairs with a book on each of them, wooden floorboards, a large window with sheer curtains, a painting hanging above the bed, soft morning light filtering through""
]
```",15,0,3
There are four chairs in the bedroom,"```python
prompts = [
    ""There are four chairs in the bedroom"",
    ""There are four chairs in the bedroom, wooden floor"",
    ""There are four chairs in the bedroom, wooden floor, large window"",
    ""There are four chairs in the bedroom, wooden floor, large window, sunshine streaming in"",
    ""There are four chairs in the bedroom, wooden floor, large window, sunshine streaming in, casting delicate shadows""
]
```",7,0,2
The chairs in the bedroom are all white,"```python
prompts = [
    ""The chairs in the bedroom are all white"",
    ""The chairs in the bedroom are all white, light filtering through the window"",
    ""The chairs in the bedroom are all white, light filtering through the window, plush carpet underfoot"",
    ""The chairs in the bedroom are all white, light filtering through the window, plush carpet underfoot, pastel colored walls"",
    ""The chairs in the bedroom are all white, light filtering through the window, plush carpet underfoot, pastel colored walls, a softly glowing lamp on a nightstand""
]
```",8,1,2
A woman with red lipstick and a polka dot dress,"```python
prompts = [
    ""A woman with red lipstick and a polka dot dress"",
    ""A woman with red lipstick and a polka dot dress, standing in a sunny park"",
    ""A woman with red lipstick and a polka dot dress, standing in a sunny park, surrounded by towering trees"",
    ""A woman with red lipstick and a polka dot dress, standing in a sunny park, surrounded by towering trees, vibrant flowers along the path"",
    ""A woman with red lipstick and a polka dot dress, standing in a sunny park, surrounded by towering trees, vibrant flowers along the path, a gentle breeze rustling the leaves""
]
```",10,1,5
An artist in a paint-splattered apron holding a palette,"```python
prompts = [
    ""An artist in a paint-splattered apron holding a palette"",
    ""An artist in a paint-splattered apron holding a palette, standing in a sunlit studio"",
    ""An artist in a paint-splattered apron holding a palette, standing in a sunlit studio, canvases lined against the walls"",
    ""An artist in a paint-splattered apron holding a palette, standing in a sunlit studio, canvases lined against the walls, vibrant colors on the palette"",
    ""An artist in a paint-splattered apron holding a palette, standing in a sunlit studio, canvases lined against the walls, vibrant colors on the palette, brushes of different sizes scattered on a wooden table""
]
```",9,1,3
A man in a lab coat examining a beaker of colorful liquid,"prompts = [
    ""A man in a lab coat examining a beaker of colorful liquid"",
    ""A man in a lab coat examining a beaker of colorful liquid, white sterile lab environment"",
    ""A man in a lab coat examining a beaker of colorful liquid, white sterile lab environment, rows of shelves with scientific equipment"",
    ""A man in a lab coat examining a beaker of colorful liquid, white sterile lab environment, rows of shelves with scientific equipment, bright fluorescent lighting"",
    ""A man in a lab coat examining a beaker of colorful liquid, white sterile lab environment, rows of shelves with scientific equipment, bright fluorescent lighting, a computer displaying data in the background""
]",12,1,5
